source,target,count,label
CAN,BLZ,0,1990-1995
CAN,BOL,203,2005-2010
CAN,BOL,204,2000-2005
CAN,BOL,144,1995-2000
CAN,BOL,83,1990-1995
CAN,BRA,114,2005-2010
CAN,BRA,55,2000-2005
CAN,BRA,346,1995-2000
CAN,BRA,435,1990-1995
CAN,BRB,50,2005-2010
CAN,BRB,49,2000-2005
CAN,BRB,162,1995-2000
CAN,BRB,63,1990-1995
CAN,CHL,16,2005-2010
CAN,CHL,29,2000-2005
CAN,CHL,597,1995-2000
CAN,CHL,1546,1990-1995
CAN,COL,125,2005-2010
CAN,COL,152,2000-2005
CAN,COL,291,1995-2000
CAN,COL,56,1990-1995
CAN,CRI,6,2005-2010
CAN,CRI,10,2000-2005
CAN,CRI,996,1995-2000
CAN,CRI,74,1990-1995
CAN,DOM,52,2005-2010
CAN,DOM,64,2000-2005
CAN,DOM,1259,1995-2000
CAN,DOM,479,1990-1995
CAN,ECU,724,2005-2010
CAN,ECU,607,2000-2005
CAN,ECU,1,1995-2000
CAN,ECU,207,1990-1995
CAN,GLP,9,2005-2010
CAN,GLP,20,2000-2005
CAN,GLP,27,1995-2000
CAN,GLP,24,1990-1995
CAN,GRD,7,2005-2010
CAN,GRD,6,2000-2005
CAN,GRD,79,1995-2000
CAN,GRD,47,1990-1995
CAN,GTM,15,2005-2010
CAN,GTM,0,2000-2005
CAN,GTM,0,1995-2000
CAN,GTM,0,1990-1995
CAN,GUY,22,2005-2010
CAN,GUY,23,2000-2005
CAN,GUY,100,1995-2000
CAN,GUY,50,1990-1995
CAN,HND,3,2005-2010
CAN,HND,0,2000-2005
CAN,HND,131,1995-2000
CAN,HND,4,1990-1995
